age	poids
97	96.2
66	51.5
20	15.1
10	12.3
52	44.7
18	13.5
78	80.7
20	18.2
8	10.6
80	53.5
7	13.5
15	14.4
86	85.6
44	25.5
85	75.7
44	51.7
71	70.7
100	157.8
5	10
9	12.3
43	24.2
12	12.4
55	58.7
23	13.5
72	78.7
94	81
76	58.6
77	108.9
53	41.7
7	10.9
56	48.7
82	95.6
64	61.2
7	10.2
65	43.2
40	42.7
12	9.8
80	97.2
27	22.6
96	119.5
30	28.4
44	16.1
85	97.3
100	137
7	9.7
37	19.8
81	87.3
78	74.5
48	51.1
59	60.3
86	100.2
40	28.8
100	110.6
37	39.2
66	60.2
2	10.4
70	49.5
81	84
75	86.5
87	118
49	41.3
27	26.1
77	60.3
64	42.2
72	61.8
64	72.2
95	133.6
7	13
54	49.6
47	24.8
16	9.1
62	41.8
97	145.9
94	128.3
24	26.6
23	20.5
69	70.1
71	85.4
69	40.6
16	22
82	98
19	15.2
42	34.8
24	12.6
57	57.2
95	91.1
61	29.1
14	13.2
47	39.3
45	33.5
86	100.7
60	66.8
2	10.1
41	23.4
81	92.6
7	9.4
48	28.4
54	52.1
23	17.9
50	36.2
