Age	Poids
2	10.3
12	83.6
13	112.1
1	17.6
11	77.6
14	116.8
17	161.6
17	164.1
3	16.7
17	166
19	201.5
1	13.6
14	123.3
3	8.9
1	13.9
10	70.8
9	62.3
6	32.5
17	163.6
10	72.8
4	14.4
11	72.2
10	68.3
15	140.9
0	13.9
3	15.4
5	29.6
4	21.3
10	65.5
8	46.1
3	22
13	95.6
4	15.7
18	173.4
17	159.9
14	112
16	146.4
13	101.7
15	128.3
14	116.1
5	15.5
16	149.8
7	44
6	25
16	153.8
2	15.9
0	16.2
4	11.2
15	132.1
17	156.2
8	32.2
16	140.6
10	68.6
3	13.9
14	107
3	21.9
18	175.4
9	47.2
19	203.5
3	13.6
9	60.6
16	152.9
9	52.5
3	16.9
12	89.3
13	105.6
4	21.5
17	162.3
0	8.6
12	95.3
3	6.8
10	68.9
6	21.6
7	33.5
17	164.3
5	28.7
10	68.8
11	74.1
1	6.5
16	148.2
4	17.5
0	5.3
15	123.5
17	157.9
1	1.3
17	165.7
15	122.8
14	114.7
4	12.2
6	28.2
1	13.3
13	93.4
1	8.9
19	196.2
18	182.4
3	15.3
19	194.6
9	56.9
8	48.7
14	111.3
